web_scraper_order,web_scraper_start_url,data,name,data2,data3,data4,data5,image,image2,image3,image4
1781229523-1,https://www.tokopedia.com/cartiera/loco-polo-cartiera-scuba-280-gsm-boxy-polo-shirt-pria-kaos-kerah-lengan-pendek-1729904256308118989?extParam=ivf%3Dfalse%26keyword%3Dkaos+loco+poco%26search_id%3D2026060604094634ED066DF378EF0B643P%26src%3Dsearch&t_id=1780719014063&t_st=1&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result,Bagusssssssssssssssssssssssssssssssssssssss,Kholiq,Varian: XL,Lebih dari 1 tahun lalu,Membantu,Lihat Balasan,https://accounts.tokopedia.com/image/v1/u/32815062/user_thumbnail/desktop?ect=4g,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/bjFkPX/2025/3/5/80b45c7c-5c0b-4bbb-86f5-18021e9099e3.jpg~tplv-aphluv4xwc-white-pad-v1:200:200.webp?lk3s=fddc9f6c&x-expires=1781240250&x-signature=%2FjQkjPa8%2BE0M6hrOSmRSo7OHO0Q%3D&x-signature-webp=%2FjQkjPa8%2BE0M6hrOSmRSo7OHO0Q%3D&ect=4g,"data:image/svg+xml,%3csvg xmlns=%27http://www.w3.org/2000/svg%27 version=%271.1%27 width=%2764%27 height=%2764%27/%3e","data:image/svg+xml,%3csvg xmlns=%27http://www.w3.org/2000/svg%27 version=%271.1%27 width=%2732%27 height=%2732%27/%3e"
1781229523-2,https://www.tokopedia.com/cartiera/loco-polo-cartiera-scuba-280-gsm-boxy-polo-shirt-pria-kaos-kerah-lengan-pendek-1729904256308118989?extParam=ivf%3Dfalse%26keyword%3Dkaos+loco+poco%26search_id%3D2026060604094634ED066DF378EF0B643P%26src%3Dsearch&t_id=1780719014063&t_st=1&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result,barang nya memuaskan min,Sastra,Varian: L,Lebih dari 1 tahun lalu,Membantu,Lihat Balasan,https://accounts.tokopedia.com/image/v1/u/260358595/user_thumbnail/desktop?ect=4g,,,"data:image/svg+xml,%3csvg xmlns=%27http://www.w3.org/2000/svg%27 version=%271.1%27 width=%2732%27 height=%2732%27/%3e"
1781229523-3,https://www.tokopedia.com/cartiera/loco-polo-cartiera-scuba-280-gsm-boxy-polo-shirt-pria-kaos-kerah-lengan-pendek-1729904256308118989?extParam=ivf%3Dfalse%26keyword%3Dkaos+loco+poco%26search_id%3D2026060604094634ED066DF378EF0B643P%26src%3Dsearch&t_id=1780719014063&t_st=1&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result,Terima kasih,Rendy,Varian: M,Lebih dari 1 tahun lalu,Membantu,Lihat Balasan,https://accounts.tokopedia.com/image/v1/u/16901189/user_thumbnail/desktop?ect=4g,,,"data:image/svg+xml,%3csvg xmlns=%27http://www.w3.org/2000/svg%27 version=%271.1%27 width=%2732%27 height=%2732%27/%3e"
1781229523-4,https://www.tokopedia.com/cartiera/loco-polo-cartiera-scuba-280-gsm-boxy-polo-shirt-pria-kaos-kerah-lengan-pendek-1729904256308118989?extParam=ivf%3Dfalse%26keyword%3Dkaos+loco+poco%26search_id%3D2026060604094634ED066DF378EF0B643P%26src%3Dsearch&t_id=1780719014063&t_st=1&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result,"keren banget bajunya, iseng pesen 1 aja buat test ukuran ternyata pas size M ini keren banget, cuma buat aku logonya yang di dada kebesaran ganti kecil aja, hanya masukan...",Tonny,Varian: M,Lebih dari 1 tahun lalu,Membantu,Lihat Balasan,https://accounts.tokopedia.com/image/v1/u/96023217/user_thumbnail/desktop?ect=4g,,,"data:image/svg+xml,%3csvg xmlns=%27http://www.w3.org/2000/svg%27 version=%271.1%27 width=%2732%27 height=%2732%27/%3e"
1781229523-5,https://www.tokopedia.com/cartiera/loco-polo-cartiera-scuba-280-gsm-boxy-polo-shirt-pria-kaos-kerah-lengan-pendek-1729904256308118989?extParam=ivf%3Dfalse%26keyword%3Dkaos+loco+poco%26search_id%3D2026060604094634ED066DF378EF0B643P%26src%3Dsearch&t_id=1780719014063&t_st=1&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result,"Bahannya bagus nihh Cuttingnya juga pass, harga segini keren sih uda dpt baju kek gini, buat design lain dong dgn bahan dan warna yg baru",Khilaf,Varian: L,Lebih dari 1 tahun lalu,Membantu,Lihat Balasan,https://accounts.tokopedia.com/image/v1/u/7948025/user_thumbnail/desktop?ect=4g,,,"data:image/svg+xml,%3csvg xmlns=%27http://www.w3.org/2000/svg%27 version=%271.1%27 width=%2732%27 height=%2732%27/%3e"
1781229523-6,https://www.tokopedia.com/cartiera/loco-polo-cartiera-scuba-280-gsm-boxy-polo-shirt-pria-kaos-kerah-lengan-pendek-1729904256308118989?extParam=ivf%3Dfalse%26keyword%3Dkaos+loco+poco%26search_id%3D2026060604094634ED066DF378EF0B643P%26src%3Dsearch&t_id=1780719014063&t_st=1&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result,gooddd,Andry,Varian: L,Lebih dari 1 tahun lalu,Membantu,Lihat Balasan,https://accounts.tokopedia.com/image/v1/u/172539539/user_thumbnail/desktop?ect=4g,,,"data:image/svg+xml,%3csvg xmlns=%27http://www.w3.org/2000/svg%27 version=%271.1%27 width=%2732%27 height=%2732%27/%3e"
1781229523-7,https://www.tokopedia.com/cartiera/loco-polo-cartiera-scuba-280-gsm-boxy-polo-shirt-pria-kaos-kerah-lengan-pendek-1729904256308118989?extParam=ivf%3Dfalse%26keyword%3Dkaos+loco+poco%26search_id%3D2026060604094634ED066DF378EF0B643P%26src%3Dsearch&t_id=1780719014063&t_st=1&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result,kerennn bangettttt asliiiiii,tegas,Varian: S,Lebih dari 1 tahun lalu,Membantu,Lihat Balasan,https://accounts.tokopedia.com/image/v1/u/9421056/user_thumbnail/desktop?ect=4g,,,"data:image/svg+xml,%3csvg xmlns=%27http://www.w3.org/2000/svg%27 version=%271.1%27 width=%2732%27 height=%2732%27/%3e"
1781229523-8,https://www.tokopedia.com/cartiera/loco-polo-cartiera-scuba-280-gsm-boxy-polo-shirt-pria-kaos-kerah-lengan-pendek-1729904256308118989?extParam=ivf%3Dfalse%26keyword%3Dkaos+loco+poco%26search_id%3D2026060604094634ED066DF378EF0B643P%26src%3Dsearch&t_id=1780719014063&t_st=1&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result,"Model keren, sesuai gambar, bahan adem, jahitan rapi dan cuttingan pas",M,Varian: XL,Lebih dari 1 tahun lalu,1 orang terbantu,Lihat Balasan,https://accounts.tokopedia.com/image/v1/u/210167704/user_thumbnail/desktop?ect=4g,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/bjFkPX/2025/2/16/2c43f7cb-839b-43a8-b41c-f90dae386d71.jpg~tplv-aphluv4xwc-white-pad-v1:200:200.webp?lk3s=fddc9f6c&x-expires=1781240250&x-signature=I4JZzT430ceH09H1dqmozmiwUcg%3D&x-signature-webp=I4JZzT430ceH09H1dqmozmiwUcg%3D&ect=4g,"data:image/svg+xml,%3csvg xmlns=%27http://www.w3.org/2000/svg%27 version=%271.1%27 width=%2764%27 height=%2764%27/%3e","data:image/svg+xml,%3csvg xmlns=%27http://www.w3.org/2000/svg%27 version=%271.1%27 width=%2732%27 height=%2732%27/%3e"
1781229523-9,https://www.tokopedia.com/cartiera/loco-polo-cartiera-scuba-280-gsm-boxy-polo-shirt-pria-kaos-kerah-lengan-pendek-1729904256308118989?extParam=ivf%3Dfalse%26keyword%3Dkaos+loco+poco%26search_id%3D2026060604094634ED066DF378EF0B643P%26src%3Dsearch&t_id=1780719014063&t_st=1&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result,sudah monopolar mas pun slesai mam keadaannya yang digunakan sebagai bahan bakar minyak bersubsidi di dunia mama dan papanya mas bro dan sis ane juga udah ada,masMantri,Varian: XL,Lebih dari 1 tahun lalu,Membantu,Lihat Balasan,https://accounts.tokopedia.com/image/v1/u/254813563/user_thumbnail/desktop?ect=4g,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/bjFkPX/2025/3/12/9235430a-7b9d-4c68-b90c-f06ad3ae27dc.jpg~tplv-aphluv4xwc-white-pad-v1:200:200.webp?lk3s=fddc9f6c&x-expires=1781240250&x-signature=QKyaTWkH8gtaFSOHFDkNB5KjyrI%3D&x-signature-webp=QKyaTWkH8gtaFSOHFDkNB5KjyrI%3D&ect=4g,"data:image/svg+xml,%3csvg xmlns=%27http://www.w3.org/2000/svg%27 version=%271.1%27 width=%2764%27 height=%2764%27/%3e","data:image/svg+xml,%3csvg xmlns=%27http://www.w3.org/2000/svg%27 version=%271.1%27 width=%2732%27 height=%2732%27/%3e"
1781229523-10,https://www.tokopedia.com/cartiera/loco-polo-cartiera-scuba-280-gsm-boxy-polo-shirt-pria-kaos-kerah-lengan-pendek-1729904256308118989?extParam=ivf%3Dfalse%26keyword%3Dkaos+loco+poco%26search_id%3D2026060604094634ED066DF378EF0B643P%26src%3Dsearch&t_id=1780719014063&t_st=1&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result,mantapppp🤘,anra,Varian: S,Lebih dari 1 tahun lalu,Membantu,Lihat Balasan,https://accounts.tokopedia.com/image/v1/u/25641872/user_thumbnail/desktop?ect=4g,,,"data:image/svg+xml,%3csvg xmlns=%27http://www.w3.org/2000/svg%27 version=%271.1%27 width=%2732%27 height=%2732%27/%3e"
